state,start_time,end_time,n_steps,start_price,end_price,mean_confidence,mean_belief_gap
RC,2021-08-28 11:50:00,2021-08-30 12:50:00,50,48811.941033578165,47708.177697083935,0.5798471696622899,0.3070003154121546
ST,2021-08-30 13:50:00,2021-08-30 17:50:00,5,47775.135127849426,48151.54811519216,0.5862151249070191,0.31790143913280317
HPEM,2021-08-30 18:50:00,2021-08-30 22:50:00,5,48470.955609494355,47659.26303054337,0.5404753425498163,0.28249344762939765
ST,2021-08-30 23:50:00,2021-09-02 01:50:00,51,47093.88091858282,49709.44708846552,0.6433607925886765,0.4668044429256908
HPEM,2021-09-02 02:50:00,2021-09-02 16:50:00,15,49692.02694118518,49560.50008122348,0.5702805387582888,0.23384959997799612
ST,2021-09-02 17:50:00,2021-09-02 18:50:00,2,49472.0895077341,49302.10415057705,0.45246431280481175,0.0821282030015372
RHA,2021-09-02 19:50:00,2021-09-02 20:50:00,2,49301.152775699054,49560.89749543284,0.5569306153695766,0.31779147523460655
ST,2021-09-02 21:50:00,2021-09-02 22:50:00,2,49827.86100583863,49730.11294971083,0.36910974309210565,0.05767796241958345
RHA,2021-09-02 23:50:00,2021-09-03 07:50:00,9,49341.853804627746,49288.17133008783,0.6181858968779791,0.38421552655817914
ST,2021-09-03 08:50:00,2021-09-03 11:50:00,4,49929.20171155343,50166.99508832006,0.5547924479289413,0.3111266787256356
HPEM,2021-09-03 12:50:00,2021-09-04 00:50:00,13,50707.77592793633,49963.37429025284,0.7595143266289566,0.6242903134786785
RHA,2021-09-04 01:50:00,2021-09-04 02:50:00,2,49755.03000014454,50043.61676680249,0.5566673601805951,0.32282023973528534
ST,2021-09-04 03:50:00,2021-09-04 16:50:00,14,50275.708754763815,49888.32264331678,0.5668773149685495,0.35051068611861325
RC,2021-09-04 17:50:00,2021-09-05 19:50:00,27,49865.108365311535,50720.63256415849,0.876076919403684,0.7910802853904542
VT,2021-09-05 20:50:00,2021-09-06 07:50:00,12,51473.41575525358,51788.84339000011,0.6365839924009817,0.4395154198102315
ST,2021-09-06 08:50:00,2021-09-06 16:50:00,9,51694.82284599326,51537.910769949674,0.4980906488600798,0.21487758955383363
HPEM,2021-09-06 17:50:00,2021-09-07 08:50:00,16,51710.278128078426,51324.73793709725,0.8150709936048719,0.7115067294799388
RHA,2021-09-07 09:50:00,2021-09-08 21:50:00,37,50855.252677587094,46035.53291846285,0.7541230237061736,0.6009862345902819
HPEM,2021-09-08 22:50:00,2021-09-08 22:50:00,1,46603.450804817,46603.450804817,0.47821979615664023,0.127830128165692
RHA,2021-09-08 23:50:00,2021-09-09 11:50:00,13,46039.08212736113,46359.79947303559,0.5980762084012348,0.3307755744375814
HPEM,2021-09-09 12:50:00,2021-09-09 19:50:00,8,46652.505035133065,46590.61085359996,0.640340952343589,0.4810664487376023
RHA,2021-09-09 20:50:00,2021-09-10 02:50:00,7,46291.69119888062,46744.5153377116,0.4776780700229516,0.21572329909181218
HPEM,2021-09-10 03:50:00,2021-09-10 04:50:00,2,46664.347425471635,46651.667275294094,0.3688229452046971,0.09464214118067214
ST,2021-09-10 05:50:00,2021-09-10 11:50:00,7,46672.30416212396,46365.18211884138,0.41120207727076036,0.16719016153250174
VT,2021-09-10 12:50:00,2021-09-10 20:50:00,9,45937.92750660987,45121.16737285369,0.5906822110525934,0.41680662548925507
HPEM,2021-09-10 21:50:00,2021-09-11 10:50:00,14,44533.98745403061,45677.233809421465,0.5242650595352237,0.299387040970901
RHA,2021-09-11 11:50:00,2021-09-11 18:50:00,8,45586.70759514786,45623.44085682088,0.572029498491923,0.40791706447717124
RC,2021-09-11 19:50:00,2021-09-12 00:50:00,6,45465.08240094349,44988.09709020776,0.6998365912903258,0.4674405581934576
VT,2021-09-12 01:50:00,2021-09-12 02:50:00,2,44931.14018659358,45284.00387807224,0.5491722146902953,0.18057345991751814
RC,2021-09-12 03:50:00,2021-09-12 07:50:00,5,45278.8643796761,45353.7649491226,0.569388189660761,0.4043437881077506
RHA,2021-09-12 08:50:00,2021-09-12 15:50:00,8,46015.81791919807,45943.38648285219,0.7170492076441534,0.579333357264908
RC,2021-09-12 16:50:00,2021-09-12 20:50:00,5,45877.33565964571,45161.075495465,0.6318173514966655,0.4619759387715462
VT,2021-09-12 21:50:00,2021-09-13 06:50:00,10,45281.62911622049,44772.71154323355,0.5482045727430659,0.33453092532782847
HPEM,2021-09-13 07:50:00,2021-09-13 12:50:00,6,44509.85244223737,44645.41776307765,0.8568850821553817,0.7905776990336916
RHA,2021-09-13 13:50:00,2021-09-13 14:50:00,2,46343.24035551223,44040.555836431784,0.7319033223258972,0.4942187573920645
HPEM,2021-09-13 15:50:00,2021-09-13 19:50:00,5,44425.16145289418,44742.94421203832,0.8690905250525193,0.7879129545902628
RHA,2021-09-13 20:50:00,2021-09-14 13:50:00,18,45014.85962716545,46477.3211610018,0.6417603126781906,0.4509274738554761
VT,2021-09-14 14:50:00,2021-09-14 17:50:00,4,46528.99901327975,46753.39266864444,0.6013602250543241,0.4376958980976131
HPEM,2021-09-14 18:50:00,2021-09-15 09:50:00,16,46523.52575636034,47154.374460536776,0.5580897523683689,0.3257999820964772
ST,2021-09-15 10:50:00,2021-09-15 13:50:00,4,47653.03979285167,47765.56095413828,0.5356994397360006,0.15380125300709735
HPEM,2021-09-15 14:50:00,2021-09-16 04:50:00,15,47840.31819296871,48329.98551776737,0.7437676187768563,0.5959730522748725
ST,2021-09-16 05:50:00,2021-09-16 13:50:00,9,48278.04917527124,47571.97003828475,0.5447982490041362,0.2565317997403259
RHA,2021-09-16 14:50:00,2021-09-17 00:50:00,11,47616.70836444609,47610.576637268896,0.6120424688733247,0.3844736558738006
HPEM,2021-09-17 01:50:00,2021-09-17 03:50:00,3,48023.27649994591,47871.99059859273,0.3780603795255398,0.054572985267779726
ST,2021-09-17 04:50:00,2021-09-17 11:50:00,8,48017.27113153958,47414.89174713695,0.5562797006615262,0.29417442789953785
RHA,2021-09-17 12:50:00,2021-09-17 19:50:00,8,47396.45375634673,47489.8137947785,0.6292409184110467,0.4692164855755803
RC,2021-09-17 20:50:00,2021-09-18 04:50:00,9,47132.893533132126,48194.64355010544,0.47964981444789423,0.1922287867245576
VT,2021-09-18 05:50:00,2021-09-18 15:50:00,11,48714.78809330638,48299.16663782793,0.4842120340002732,0.20547809907743775
RC,2021-09-18 16:50:00,2021-09-19 23:50:00,32,48243.91809122384,47257.2870422188,0.7575743243651722,0.5948239451978184
ST,2021-09-20 00:50:00,2021-09-20 01:50:00,2,46991.62146958221,47265.04973205322,0.4592112196454349,0.1827863119622578
HPEM,2021-09-20 02:50:00,2021-09-22 07:50:00,54,46068.69188172942,42622.66360195434,0.8700654341404925,0.7885762041011078
RHA,2021-09-22 08:50:00,2021-09-23 10:50:00,27,42427.868045274576,43781.815818643714,0.6920872483402568,0.5373832046982754
RC,2021-09-23 11:50:00,2021-09-23 16:50:00,6,43621.26015364933,43806.61705214874,0.5785471256168508,0.23153579890608597
VT,2021-09-23 17:50:00,2021-09-24 01:50:00,9,44898.895032917135,44602.63199035033,0.744971887602608,0.5726501815080518
RC,2021-09-24 02:50:00,2021-09-24 08:50:00,7,44401.630567007785,44718.38780810865,0.6526927147548299,0.3679605608468503
